Energy Density,Pressure
1.4557183058600785e-16,6.625500441272516e-38
1.4566403836843424e-16,6.633896518801237e-38
1.4575630455690733e-16,6.642303236147809e-38
1.4584862918842384e-16,6.650720606795509e-38
1.459410123000001e-16,6.659148644244374e-38
1.4603345392867973e-16,6.667587362011874e-38
1.4612595411152966e-16,6.676036773632613e-38
1.462185128856367e-16,6.684496892658013e-38
1.463111302881149e-16,6.692967732657002e-38
1.464038063561016e-16,6.7014493072157e-38
1.4649654112675426e-16,6.709941629937118e-38
1.4658933463725849e-16,6.718444714441938e-38
1.4668218692481888e-16,6.726958574367671e-38
1.4677509802666697e-16,6.735483223369437e-38
1.4686806798005799e-16,6.744018675119655e-38
1.4696109682226721e-16,6.752564943307748e-38
1.4705418459059695e-16,6.761122041640813e-38
1.4714733132237335e-16,6.769689983843319e-38
1.4724053705494248e-16,6.778268783656792e-38
1.4733380182567763e-16,6.786858454840505e-38
1.4742712567197596e-16,6.795459011171174e-38
1.4752050863125446e-16,6.804070466442631e-38
1.4761395074095757e-16,6.812692834466527e-38
1.477074520385534e-16,6.821326129072011e-38
1.4780101256153026e-16,6.829970364105431e-38
1.4789463234740497e-16,6.838625553431117e-38
1.4798831143371325e-16,6.847291710930531e-38
1.4808204985801826e-16,6.855968850503053e-38
1.4817584765790696e-16,6.864656986065687e-38
1.4826970487098648e-16,6.873356131552728e-38
1.4836362153489135e-16,6.882066300916469e-38
1.4845759768728008e-16,6.890787508126885e-38
1.4855163336583127e-16,6.899519767171314e-38
1.4864572860825103e-16,6.90826309205516e-38
1.4873988345226945e-16,6.917017496801575e-38
1.4883409793563672e-16,6.925782995451139e-38
1.4892837209613076e-16,6.934559602062568e-38
1.4902270597155329e-16,6.943347330712393e-38
1.4911709959972643e-16,6.952146195494645e-38
1.4921155301850102e-16,6.960956210521663e-38
1.4930606626574704e-16,6.969777389923221e-38
1.4940063937936216e-16,6.97860974784734e-38
1.49495272397268e-16,6.987453298459966e-38
1.4958996535740656e-16,6.996308055944657e-38
1.496847182977476e-16,7.005174034503289e-38
1.4977953125628476e-16,7.014051248355731e-38
1.4987440427103225e-16,7.022939711739534e-38
1.4996933738003193e-16,7.031839438910628e-38
1.5006433062134984e-16,7.040750444143017e-38
1.501593840330724e-16,7.049672741728444e-38
1.502544976533138e-16,7.058606345977105e-38
1.5034967152021237e-16,7.067551271217337e-38
1.504449056719271e-16,7.076507531795285e-38
1.5054020014664578e-16,7.085475142075737e-38
1.506355549825757e-16,7.094454116441222e-38
1.5073097021795192e-16,7.10344446929284e-38
1.5082644589103373e-16,7.112446215049945e-38
1.5092198204010103e-16,7.121459368149809e-38
1.5101757870346165e-16,7.130483943048357e-38
1.511132359194475e-16,7.139519954219824e-38
1.5120895372641137e-16,7.148567416156445e-38
1.5130473216273383e-16,7.157626343369167e-38
1.5140057126681987e-16,7.166696750387324e-38
1.51496471077095e-16,7.175778651758313e-38
1.5159243163201284e-16,7.184872062048317e-38
1.516884529700514e-16,7.193976995841981e-38
1.5178453512970931e-16,7.203093467742075e-38
1.518806781495145e-16,7.212221492370348e-38
1.5197688206801444e-16,7.221361084366604e-38
1.5207314692378466e-16,7.230512258389556e-38
1.521694727554251e-16,7.239675029116491e-38
1.5226585960155658e-16,7.248849411242942e-38
1.5236230750082799e-16,7.258035419483421e-38
1.524588164919126e-16,7.267233068571082e-38
1.5255538661350466e-16,7.276442373257399e-38
1.5265201790432655e-16,7.285663348312893e-38
1.5274871040312516e-16,7.294896008526804e-38
1.5284546414866827e-16,7.304140368706754e-38
1.5294227917975188e-16,7.31339644367949e-38
1.5303915553519656e-16,7.32266424829055e-38
1.5313609325384379e-16,7.331943797403919e-38
1.5323309237456455e-16,7.341235105902903e-38
1.5333015293624959e-16,7.350538188689189e-38
1.5342727497781793e-16,7.359853060683704e-38
1.5352445853821322e-16,7.369179736826288e-38
1.5362170365640013e-16,7.378518232075348e-38
1.5371901037137167e-16,7.387868561408611e-38
1.5381637872214563e-16,7.397230739822786e-38
1.539138087477607e-16,7.406604782333221e-38
1.5401130048728406e-16,7.415990703974653e-38
1.5410885397980767e-16,7.425388519800879e-38
1.5420646926444444e-16,7.434798244884399e-38
1.5430414638033585e-16,7.444219894317186e-38
1.5440188536664824e-16,7.453653483210335e-38
1.544996862625688e-16,7.463099026693723e-38
1.5459754910731478e-16,7.472556539916894e-38
1.5469547394012313e-16,7.482026038048093e-38
1.5479346080025944e-16,7.49150753627516e-38
1.5489150972701415e-16,7.501001049805181e-38
1.549896207596989e-16,7.510506593864141e-38
1.5508779393765396e-16,7.520024183697693e-38
1.551860293002444e-16,7.529553834570808e-38
1.552843268868567e-16,7.539095561767432e-38
1.5538268673690576e-16,7.548649380591249e-38
1.554811088898317e-16,7.558215306365334e-38
1.5557959338509578e-16,7.567793354431817e-38
1.5567814026218792e-16,7.577383540152633e-38
1.5577674956062317e-16,7.586985878909186e-38
1.5587542131993784e-16,7.596600386102004e-38
1.5597415557969827e-16,7.606227077151625e-38
1.5607295237949072e-16,7.615865967497626e-38
1.5617181175893056e-16,7.625517072599533e-38
