e,p
3.8015643258981677e-08,5.5803652449750644e-12
3.8863669705955494e-08,5.789321697747558e-12
3.9724217588219084e-08,6.004490767651092e-12
4.059737877570857e-08,6.226009958544807e-12
4.148324514142414e-08,6.454018749089645e-12
4.238190856137046e-08,6.688658692151128e-12
4.329346091463865e-08,6.93007334853084e-12
4.421799408340129e-08,7.178408330040965e-12
4.5155599952942286e-08,7.43381135583252e-12
4.6106370411676735e-08,7.696432199380552e-12
4.707039735117328e-08,7.966422741498938e-12
4.804777266617648e-08,8.243936976967248e-12
4.9038588254609304e-08,8.529131044351576e-12
5.0042936017652636e-08,8.822163202810551e-12
5.106090785970307e-08,9.123193881796739e-12
5.209259568840514e-08,9.432385687683477e-12
5.313809141471849e-08,9.749903413705164e-12
5.4197486952905437e-08,1.0075914033330403e-11
5.527087422053587e-08,1.0410586766530525e-11
5.635834513854702e-08,1.0754093049958747e-11
5.7459991631240855e-08,1.1106606566771008e-11
5.8575905626323876e-08,1.1468303256566248e-11
5.970617905489972e-08,1.1839361351834095e-11
6.08509038515486e-08,1.221996132825347e-11
6.201017195425528e-08,1.2610286047169906e-11
6.318407530453334e-08,1.3010520596551102e-11
6.43727058473854e-08,1.3420852456658213e-11
6.557615553132296e-08,1.3841471440404198e-11
6.679451630843109e-08,1.427256971654778e-11
6.802788013436337e-08,1.4714341829574026e-11
6.927633896833704e-08,1.5166984736142008e-11
7.053998477319749e-08,1.563069777195056e-11
7.181890951544318e-08,1.610568270806651e-11
7.311320516521566e-08,1.6592143747611254e-11
7.442296369632946e-08,1.709028753238761e-11
7.574827708632168e-08,1.7600323179327517e-11
7.70892373164024e-08,1.8122462293745698e-11
7.844593637159381e-08,1.865691895277257e-11
7.981846624064067e-08,1.9203909755055623e-11
8.120691891608498e-08,1.9763653810819132e-11
8.261138639429076e-08,2.0336372778311842e-11
8.403196067544408e-08,2.0922290863806982e-11
8.546873376359276e-08,2.1521634821602246e-11
8.692179766663652e-08,2.213463402028833e-11
8.839124439640647e-08,2.276152039636095e-11
8.987716596864521e-08,2.340252850060882e-11
9.137965440303163e-08,2.405789551136735e-11
9.289880172319599e-08,2.472786125108577e-11
9.443469995678931e-08,2.5412668173073428e-11
9.598744113541388e-08,2.6112561437708598e-11
9.755711729477238e-08,2.682778883291624e-11
9.91438204745585e-08,2.7558600900078197e-11
1.0074764271857623e-07,2.830525084788411e-11
1.0236867607469515e-07,2.9067994635167075e-11
1.0400701259493984e-07,2.9847090937769387e-11
1.0566274433544524e-07,3.0642801214811036e-11
1.0733596335649629e-07,3.145538968549576e-11
1.0902676172260759e-07,3.228512331585731e-11
1.1073523150245368e-07,3.313227192810251e-11
1.1246146476894865e-07,3.3997108134342755e-11
1.1420555359926605e-07,3.4879907346534294e-11
1.1596759007483874e-07,3.5780947846060114e-11
1.1774766628138394e-07,3.670051078041661e-11
1.1954587430895275e-07,3.763888013007923e-11
1.2136230625192035e-07,3.8596342797965055e-11
1.2319705420902073e-07,3.957318856635819e-11
1.250502102833665e-07,4.0569710123417224e-11
1.2692186658247387e-07,4.158620311950346e-11
1.2881211521829243e-07,4.2622966097598953e-11
1.307210483071902e-07,4.368030060596299e-11
1.3264875797002322e-07,4.475851115174415e-11
1.3459533633214054e-07,4.5857905197666875e-11
1.3656087552337435e-07,4.697879325480736e-11
1.3854546767812426e-07,4.8121488803071384e-11
1.405492049353128e-07,4.928630841047758e-11
1.4257217943847479e-07,5.0473571627127874e-11
1.446144833356927e-07,5.168360108792363e-11
1.4667620877973086e-07,5.291672250262543e-11
1.4875744792792615e-07,5.41732646823604e-11
1.50858292942352e-07,5.5453559513114874e-11
1.5297883598971397e-07,5.675794200212233e-11
1.5511916924144429e-07,5.8086750330878237e-11
1.572793848737017e-07,5.944032574248347e-11
1.594595750673915e-07,6.081901272719632e-11
1.6165983200821517e-07,6.222315888989531e-11
1.6388024788662555e-07,6.365311504285518e-11
1.661209148979314e-07,6.510923523888119e-11
1.6838192524226256e-07,6.659187667190627e-11
1.7066337112462443e-07,6.81013998227818e-11
1.729653447548783e-07,6.963816843277019e-11
1.7528793834779603e-07,7.120254944390321e-11
1.7763124412309466e-07,7.279491311826531e-11
1.7999535430544154e-07,7.441563299823257e-11
1.8238036112443442e-07,7.606508593960688e-11
