e,p
1.0,6.915540401067869e-29
1.0,7.018212761141801e-29
1.0,7.122409458131055e-29
1.0,7.228153123277727e-29
1.0,7.335466723821236e-29
1.0,7.444373567986561e-29
1.0,7.554897310047145e-29
1.0,7.667061955462061e-29
1.0,7.780891866090419e-29
1.0,7.896411765482195e-29
1.0,8.013646744248564e-29
1.0,8.132622265511333e-29
1.0,8.253364170433248e-29
1.0,8.375898683831096e-29
1.0,8.500252419871133e-29
1.0,8.626452387850143e-29
1.0,8.754525998061244e-29
1.0,8.884501067747808e-29
1.0,9.01640582714509e-29
1.0,9.150268925611535e-29
1.0,9.286119437851854e-29
1.0,9.423986870231385e-29
1.0,9.563901167185386e-29
1.0,9.705892717722289e-29
1.0,9.849992362024634e-29
1.0,9.996231398147265e-29
1.0,1.0144641588814918e-28
1.0,1.0295255168321584e-28
1.0,1.044810484953104e-28
1.0,1.060322383098267e-28
1.0,1.076064580410142e-28
1.0,1.0920404960516086e-28
1.0,1.108253599948538e-28
1.0,1.1247074135434256e-28
1.0,1.141405510560301e-28
1.0,1.1583515177808583e-28
1.0,1.1755491158322581e-28
1.0,1.1930020399864743e-28
1.0,1.2107140809716507e-28
1.0,1.2286890857954107e-28
1.0,1.2469309585803844e-28
1.0,1.2654436614122455e-28
1.0,1.2842312152001835e-28
1.0,1.303297700550317e-28
1.0,1.322647258651907e-28
1.0,1.3422840921768852e-28
1.0,1.3622124661926333e-28
1.0,1.3824367090883082e-28
1.0,1.4029612135150369e-28
1.0,1.4237904373398957e-28
1.0,1.4449289046142288e-28
1.0,1.4663812065562254e-28
1.0,1.488152002548084e-28
1.0,1.5102460211481005e-28
1.0,1.532668061117603e-28
1.0,1.5554229924633147e-28
1.0,1.5785157574950695e-28
1.0,1.6019513718992299e-28
1.0,1.6257349258281709e-28
1.0,1.6498715850057427e-28
1.0,1.6743665918493585e-28
1.0,1.6992252666085251e-28
1.0,1.7244530085204828e-28
1.0,1.7500552969828643e-28
1.0,1.776037692743761e-28
1.0,1.8024058391096049e-28
1.0,1.8291654631707614e-28
1.0,1.8563223770455569e-28
1.0,1.883882479142536e-28
1.0,1.9118517554416834e-28
1.0,1.9402362807945218e-28
1.0,1.969042220243501e-28
1.0,1.9982758303611424e-28
1.0,2.0279434606088205e-28
1.0,2.0580515547159784e-28
1.0,2.0886066520795583e-28
1.0,2.1196153891844544e-28
1.0,2.151084501044894e-28
1.0,2.1830208226672085e-28
1.0,2.2154312905345017e-28
1.0,2.2483229441130946e-28
1.0,2.281702927381621e-28
1.0,2.315578490382535e-28
1.0,2.3499569907969296e-28
1.0,2.3848458955425515e-28
1.0,2.420252782395535e-28
1.0,2.4561853416364128e-28
1.0,2.492651377720263e-28
1.0,2.529658810971981e-28
1.0,2.5672156793063865e-28
1.0,2.6053301399741804e-28
1.0,2.6440104713336197e-28
1.0,2.683265074648488e-28
1.0,2.723102475912975e-28
1.0,2.763531327703332e-28
1.0,2.804560411057358e-28
1.0,2.8461986373814427e-28
1.0,2.8884550503862566e-28
1.0,2.9313388280509537e-28
1.0,2.974859284616533e-28
1.0,3.019025872609029e-28
1.0,3.0638481848923895e-28
1.0,3.1093359567522083e-28
1.0,3.1554990680100084e-28
1.0,3.2023475451692877e-28
1.0,3.249891563593173e-28
1.0,3.2981414497144025e-28
1.0,3.3471076832783836e-28
1.0,3.3968008996191527e-28
1.0,3.447231891969555e-28
1.0,3.49841161380529e-28
1.0,3.550351181224169e-28
1.0,3.6030618753604174e-28
1.0,3.6565551448348223e-28
1.0,3.710842608241543e-28
1.0,3.765936056671404e-28
1.0,3.821847456273128e-28
1.0,3.878588950852106e-28
1.0,3.936172864508217e-28
1.0,3.9946117043124962e-28
1.0,4.05391816302354e-28
1.0,4.114105121844566e-28
1.0,4.1751856532209095e-28
1.0,4.237173023679596e-28
1.0,4.300080696710523e-28
1.0,4.363922335690929e-28
1.0,4.4287118068529435e-28
1.0,4.494463182295188e-28
1.0,4.561190743039448e-28
1.0,4.6289089821321815e-28
1.0,4.697632607792665e-28
1.0,4.767376546607278e-28
1.0,4.8381559467717865e-28
1.0,4.909986181381375e-28
1.0,4.982882851769518e-28
1.0,5.056861790896836e-28
1.0,5.131939066789636e-28
1.0,5.208130986030184e-28
1.0,5.2854540972981075e-28
1.0,5.363925194965028e-28
1.0,5.44356132274212e-28
1.0,5.524379777381833e-28
1.0,5.606398112434998e-28
1.0,5.689634142063072e-28
1.0,5.774105944907667e-28
1.0,5.85983186801683e-28
1.0,5.946830530830295e-28
1.0,6.03512082922343e-28
1.0,6.12472193961123e-28
1.0,6.215653323113721e-28
1.0,6.30793472978247e-28
1.0,6.4015862028905905e-28
1.0,6.49662808328594e-28
1.0,6.593081013808937e-28
1.0,6.690965943776503e-28
1.0,6.790304133531764e-28
1.0,6.891117159062124e-28
1.0,6.993426916685351e-28
1.0,7.097255627805218e-28
1.0,7.202625843738341e-28
1.0,7.309560450611797e-28
1.0,7.418082674334401e-28
1.0,7.52821608564083e-28
1.0,7.6399846052115495e-28
1.0,7.753412508868138e-28
1.0,7.868524432845746e-28
1.0,7.98534537914445e-28
1.0,8.103900720959122e-28
1.0,8.224216208190928e-28
1.0,8.346317973039613e-28
1.0,8.470232535679816e-28
1.0,8.595986810020974e-28
1.0,8.723608109552746e-28
1.0,8.853124153277915e-28
1.0,8.984563071732315e-28
1.0,9.117953413095286e-28
1.0,9.25332414938967e-28
1.0,9.39070468277499e-28
1.0,9.530124851933274e-28
1.0,9.671614938549727e-28
1.0,9.815205673890361e-28
1.0,9.96092824547612e-28
1.0,1.0108814303857355e-27
1.0,1.0258895969487609e-27
1.0,1.0411205839700646e-27
1.0,1.0565776995790271e-27
1.0,1.0722643010195238e-27
1.0,1.0881837953791691e-27
1.0,1.1043396403292578e-27
1.0,1.1207353448758314e-27
1.0,1.1373744701217545e-27
1.0,1.1542606300402392e-27
1.0,1.1713974922597638e-27
1.0,1.1887887788606425e-27
1.0,1.2064382671835194e-27
1.0,1.2243497906497176e-27
1.0,1.2425272395939275e-27
1.0,1.260974562109097e-27
1.0,1.2796957649040183e-27
1.0,1.2986949141735422e-27
1.0,1.3179761364817143e-27
1.0,1.3375436196581275e-27
1.0,1.3574016137074208e-27
1.0,1.3775544317324567e-27
1.0,1.3980064508710271e-27
1.0,1.4187621132466334e-27
1.0,1.4398259269332714e-27
1.0,1.4612024669345367e-27
1.0,1.4828963761773856e-27
1.0,1.5049123665204712e-27
1.0,1.5272552197776432e-27
1.0,1.5499297887564465e-27
1.0,1.5729409983122253e-27
1.0,1.5962938464177508e-27
1.0,1.619993405248729e-27
1.0,1.6440448222855535e-27
1.0,1.6684533214312208e-27
1.0,1.693224204146053e-27
1.0,1.718362850599053e-27
1.0,1.7438747208365594e-27
1.0,1.769765355968112e-27
1.0,1.796040379369923e-27
1.0,1.8227054979063595e-27
1.0,1.849766503169343e-27
1.0,1.8772292727363857e-27
1.0,1.9050997714470645e-27
1.0,1.9333840526986737e-27
1.0,1.9620882597609626e-27
1.0,1.991218627110388e-27
1.0,2.020781481784338e-27
1.0,2.0507832447552175e-27
1.0,2.0812304323251985e-27
1.0,2.112129657541409e-27
1.0,2.1434876316323876e-27
1.0,2.175311165465694e-27
