e,p
4.849416801720835e-15,3.8754781894838616e-18
4.895565319076436e-15,3.937054679351035e-18
4.942006040320713e-15,3.9994110528438065e-18
4.988739893184341e-15,4.0625546867746716e-18
5.035767805466684e-15,4.126493004940503e-18
5.083090705037282e-15,4.191233476929723e-18
5.130709519836151e-15,4.256783619315126e-18
5.178625177873288e-15,4.323150994991207e-18
5.226838607229664e-15,4.390343213704295e-18
5.275350736056427e-15,4.458367932516445e-18
5.324162492576097e-15,4.527232855142747e-18
5.373274805082464e-15,4.5969457328128165e-18
5.422688601940595e-15,4.6675143639394534e-18
5.472404811587418e-15,4.738946594383717e-18
5.522424362531735e-15,4.811250317719996e-18
5.5727481833538145e-15,4.8844334756998946e-18
5.623377202707387e-15,4.9585040574570036e-18
5.6743123493173546e-15,5.0334701005672e-18
5.7255545519825724e-15,5.109339690651038e-18
5.7771047395740655e-15,5.186120961903891e-18
5.828963841036215e-15,5.263822096764615e-18
5.881132785387062e-15,5.342451326511964e-18
5.933612501717807e-15,5.422016931065781e-18
5.986403919193807e-15,5.502527239252074e-18
6.039507967054071e-15,5.583990629730779e-18
6.0929255746127626e-15,5.666415528742624e-18
6.1466576712573015e-15,5.749810413621366e-18
6.200705186450458e-15,5.834183810341852e-18
6.2550690497299456e-15,5.9195442943152416e-18
6.309750190708338e-15,6.005900491250501e-18
6.364749539073646e-15,6.093261076756789e-18
6.4200680245895326e-15,6.1816347759458446e-18
6.475706577095202e-15,6.271030364889899e-18
6.531666126505807e-15,6.361456669495106e-18
6.587947602813333e-15,6.4529225661642304e-18
6.644551936085119e-15,6.545436982525602e-18
6.701480056466133e-15,6.639008896107739e-18
6.758732894177587e-15,6.733647335797265e-18
6.8163113795179266e-15,6.8293613816400974e-18
6.874216442862738e-15,6.9261601648414476e-18
6.9324490146654364e-15,7.024052867699554e-18
6.9910100254565745e-15,7.123048724400905e-18
7.049900405845433e-15,7.223157020092475e-18
7.109121086518526e-15,7.324387092472178e-18
7.168672998241694e-15,7.426748330529754e-18
7.228557071858112e-15,7.530250175673344e-18
7.288774238291172e-15,7.634902121199337e-18
7.349325428542297e-15,7.740713712888784e-18
7.410211573692235e-15,7.847694549139944e-18
7.471433604901056e-15,7.955854280835738e-18
7.532992453409348e-15,8.06520261141002e-18
7.594889050536524e-15,8.175749297443997e-18
7.65712432768261e-15,8.287504148401152e-18
7.719699216327859e-15,8.400477027091123e-18
7.782614648032829e-15,8.514677849205823e-18
7.845871554439101e-15,8.630116584578551e-18
7.909470867269068e-15,8.74680325599114e-18
7.973413518326132e-15,8.86474794030054e-18
8.03770043949541e-15,8.983960768240003e-18
8.10233256274293e-15,9.104451924617894e-18
8.167310820117523e-15,9.226231647853801e-18
8.23263614374923e-15,9.34931023130392e-18
8.2983094658507e-15,9.47369802253209e-18
8.364331718716884e-15,9.599405423641137e-18
8.430703834725437e-15,9.726442891604227e-18
8.497426746337015e-15,9.854820937933507e-18
8.56450138609508e-15,9.984550129475344e-18
8.631928686626585e-15,1.0115641088211499e-17
8.699709580642089e-15,1.0248104490994078e-17
8.767845000935841e-15,1.0381951070539538e-17
8.836335880385892e-15,1.0517191615031089e-17
8.905183151954683e-15,1.065383696798615e-17
8.974387748688849e-15,1.0791898029382918e-17
9.043950603719718e-15,1.0931385754798876e-17
9.113872650263608e-15,1.10723111558084e-17
9.184154821621126e-15,1.121468530091053e-17
9.254798051179266e-15,1.1358519313872242e-17
9.325803272410104e-15,1.1503824375849049e-17
9.397171418870511e-15,1.1650611724788582e-17
9.468903424204438e-15,1.179889265483418e-17
9.541000222140919e-15,1.1948678517849057e-17
9.613462746496263e-15,1.2099980721958392e-17
9.686291931172867e-15,1.2252810732940982e-17
9.759488710159804e-15,1.2407180073964156e-17
9.833054017533226e-15,1.2563100325848854e-17
9.906988787456058e-15,1.2720583127003355e-17
9.981293954179702e-15,1.287964017309194e-17
1.0055970452041834e-14,1.3040283218757864e-17
