R,M
0.17787188509639085,0.04981743353712712
0.17774374311478927,0.049786770358658194
0.17761639276312527,0.04975612622076397
0.1774898285901861,0.049725503660481195
0.17736404250050908,0.04969490511661343
0.1772390278927696,0.049664332933328746
0.17711477864721734,0.04963378936361644
0.17699128645553738,0.049603276572605236
0.1768685463461353,0.04957279663999964
0.17674655117604224,0.04954235156613608
0.17662529403033064,0.049511943270458485
0.17650476910896862,0.04948157359731022
0.17638496995953937,0.04945124431791639
0.17626588980440216,0.04942095713299791
0.1761475217343052,0.049390713675285254
0.17602986065895165,0.04936051551193603
0.1759129002645482,0.049330364146860935
0.1757966340164857,0.049300261022960104
0.17568105628490932,0.04927020752427703
0.1755661608610679,0.04924020497806922
0.1754519416798332,0.049210254656802864
0.17533839361384695,0.04918035778007225
